mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference,Formation_energy
0.21712844,0.5025897,0.91186,0.6188958,0.05304217,0.9967114,0.049176186,0.69474244,0.4681475,0.34919387,0.6034643,-0.22126327
0.1761977,0.35565454,0.70963204,0.24363844,0.21896984,0.7845166,0.99109304,0.55409306,0.48394334,0.6433413,0.08951032,0.10184215
0.425836,0.5997863,0.87993896,0.9105894,0.3136712,0.44248587,0.9969672,0.35612124,0.56250864,0.7834778,0.8506388,-0.10092563
0.20492482,0.3374401,0.732388,0.30199492,0.19062917,0.8545637,0.9624664,0.5399304,0.632478,0.58721066,0.049478613,0.091286294
0.2709731,0.44704652,0.596964,0.552274,0.55763507,0.62829125,0.693838,0.69909567,0.7735536,0.3461897,0.17319171,-0.2360827
0.20766328,0.4326979,0.7208146,0.48317906,0.4902505,0.65786743,0.38523805,0.54764163,0.9155816,0.8502749,0.54637074,-0.2521079
0.26397547,0.38276097,0.6075063,0.48573518,0.44267875,0.6709635,0.879967,0.5144713,0.7277058,0.54513574,0.31336227,-0.08277801
0.20578113,0.4450081,0.73301286,0.33535746,0.053722937,0.8150706,0.93670744,0.44081357,0.5299374,0.44415063,0.18627368,0.001079882
0.4010316,0.46870938,0.70307285,0.852105,0.59141886,0.46583948,0.9876014,0.48470435,0.5990357,0.6134461,0.7223666,-0.3123796
0.33028373,0.56737024,0.7600957,0.5796033,0.47523087,0.47927505,0.9933497,0.5208132,0.5289009,0.5798334,0.5538888,-0.15661298
0.59366333,0.3433787,0.8658175,0.9113052,0.7181816,0.4573788,0.79341704,0.4825148,0.6737159,0.39828074,0.69730824,-0.4068881
0.38844147,0.39043814,0.67439353,0.8578266,0.6397425,0.61340845,0.6803576,0.566655,0.8065965,0.3232643,0.49228138,-0.34679213
0.2899288,0.39414486,0.79341406,0.46863368,0.028768001,0.80167377,0.9479675,0.42327958,0.5634525,0.44407076,0.12792362,0.017415816
0.29711825,0.47410664,0.7301891,0.6006303,0.18773872,0.65467215,0.22430174,0.4569593,0.72838086,0.19634722,0.14537235,-0.14113888
0.099248305,0.37676498,0.7017844,0.21790768,0.11131275,0.89338106,0.43887344,0.439879,0.6842487,0.424554,0.08310687,0.0104498
0.5046309,0.49089012,0.74593264,0.5602756,0.6952764,0.48017326,0.37748414,0.880692,0.9942192,0.27291134,0.3265275,-0.42210522
0.18389912,0.33502105,0.7007761,0.31273234,0.16799553,0.7856142,0.992767,0.5372758,0.42736945,0.6354339,0.096780635,0.07333644
0.08076686,0.42738265,0.758548,0.26718062,0.10312753,0.95165753,0.50446904,0.5437696,0.59780777,0.18748161,0.14880778,-0.05745107
0.71777314,0.15495381,0.96611845,0.9255041,0.84499145,0.69858384,0.6056787,0.63269305,0.95900756,0.43967354,0.5379171,-0.32257697
0.3423354,0.5287587,0.6915067,0.459765,0.4517255,0.5893347,0.984681,0.539265,0.5204687,0.5499698,0.38568762,-0.061183948
0.21865137,0.45246255,0.6570078,0.47585914,0.60223097,0.6916592,0.75916976,0.71501505,0.79987186,0.3635504,0.24176885,-0.23496155
0.2904632,0.28456843,0.72019553,0.3671842,0.3491187,0.8108824,0.9846333,0.6017869,0.6493933,0.65353477,0.1463901,0.059971444
0.8710662,0.31204745,0.98354834,0.9852862,0.8696163,0.7783488,0.66083145,0.7137319,0.99625957,0.30828914,0.35035834,-0.3969803
0.21399911,0.34154528,0.6785383,0.3828603,0.27719113,0.73567176,0.98452187,0.55338115,0.45446953,0.5820818,0.22585222,0.027036034
0.66324043,0.50625193,0.737592,0.79028434,0.79446226,0.42994404,0.36214566,0.83018863,0.99963725,0.31573373,0.027279744,-0.720247
0.23988354,0.6981494,0.7557237,0.6004393,0.4140183,0.5123999,0.9984434,0.48016578,0.5330609,0.75651157,0.57072055,-0.23852853
0.233215,0.30755106,0.7851962,0.32524693,0.17155318,0.8857178,0.98582506,0.5683706,0.5573616,0.635421,0.04209936,0.09582553
0.18931767,0.37083757,0.7910863,0.28838587,0.029130273,0.8297191,0.98143846,0.50495315,0.489996,0.515728,0.047940016,0.06883939
0.693135,0.64921474,0.8134707,0.8832363,0.7940947,0.27960432,0.16925131,0.8992457,0.9986541,0.37972718,0.7974516,-0.6261364
0.395575,0.5151367,0.67577076,0.75005734,0.6011733,0.40511608,0.95694864,0.5482422,0.55385447,0.4515209,0.6333324,-0.27698022
0.31314382,0.34484953,0.8521964,0.5218852,-0.02409457,0.92283577,0.3769385,0.27854386,0.7266536,0.6594426,0.2681896,-0.00566617
0.1349979,0.30938002,0.82943636,0.24080858,0.11325356,0.94604,0.9706171,0.6302469,0.5552262,0.44870335,-0.005995634,0.04388709
0.4156715,0.3810738,0.7248341,0.7150912,0.33984542,0.69808084,0.84961677,0.53633535,0.7110971,0.3117001,0.29613963,-0.1715226
0.11560957,0.36322385,0.60837907,0.34919372,0.49510935,0.679317,0.4959908,0.67264664,0.83431196,0.3484644,0.06856261,-0.18406297
0.3390339,0.56258446,0.7469701,0.7343792,0.40044603,0.4370355,0.99509233,0.4613684,0.5058812,0.7104205,0.6473117,-0.13685608
0.30905372,0.295756,0.7545457,0.69930625,0.8068515,0.667957,0.36831984,0.7257911,0.9850154,0.39039347,0.03432598,-0.48439464
0.20942079,0.43960464,0.7618111,0.46175262,-0.024372552,0.96012217,0.090646096,0.2712084,0.45902333,0.52431506,0.42487648,0.05750851
0.29200697,0.56696904,0.7633861,0.36422107,0.6913358,0.52328,0.20331018,0.8620375,0.99190366,0.48305026,0.38429114,-0.4684099
0.25075364,0.42424875,0.6281372,0.5159807,0.4321434,0.58840096,0.21680008,0.6375377,0.8319616,0.29445824,0.015720176,-0.24464732
0.31880525,0.42743415,0.6227439,0.45274204,0.45220536,0.63379514,0.8804976,0.5938595,0.68961275,0.43899474,0.36905208,-0.16464278
0.2618477,0.43585867,0.6533083,0.31682947,0.51385045,0.6532257,0.38683978,0.8512,0.96845365,0.37773755,0.021859635,-0.25296408
