mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference
0.77940655,0.64316136,0.8479056,0.89058673,0.84242964,0.65842736,0.59128195,0.82132506,0.969836,0.34010723,-0.24883266
0.27095333,0.48096794,0.76306427,0.6758436,0.21445076,0.6156529,0.97117364,0.4584721,0.58281004,0.5548688,0.43289468
0.17415114,0.38797137,0.7219746,0.17988347,0.16159904,0.92198044,0.9948665,0.43089285,0.3836971,0.6649263,0.103180096
0.2708069,0.37559143,0.7624345,0.59744847,0.18204911,0.65209734,0.9826646,0.48843908,0.4970507,0.5201001,0.3379178
0.7307757,0.6086295,0.8118715,0.85031456,0.8026796,0.49721313,0.52595913,0.839623,0.98802793,0.16535446,-0.054456733
0.82356817,0.81433165,0.9985647,0.9537181,0.5167086,1.0,0.43637234,0.36425042,0.9999967,0.5132892,-0.13432567
0.12568912,0.35706598,0.6524017,0.11279487,0.2523186,0.9263209,0.98347265,0.5078682,0.4670766,0.7126192,0.14698166
0.11179647,0.5127218,0.76546013,0.040197827,0.12536563,0.9870602,0.99156255,0.5004926,0.3890925,0.6386514,0.118425734
0.65458524,0.831077,0.98065233,0.91297036,0.3889472,0.99999976,-0.07051992,0.44862965,0.9995673,0.9045543,0.15959384
0.19628301,0.3246427,0.7349534,0.42047933,0.1911671,0.7372779,0.9778626,0.52975583,0.49430192,0.5131515,0.213856
0.21310423,0.42444822,0.6784327,0.30755737,0.11777781,0.80046237,0.99496984,0.42950544,0.26395717,0.5182196,0.29899058
0.7549975,0.7655554,0.9956406,0.9028065,0.6079903,0.99999654,0.9080256,0.80193555,0.9999871,0.12654409,0.17441538
0.64103293,0.3945307,0.89885604,0.7695053,0.18186323,0.9954028,0.39434242,0.3713404,0.99666584,0.54749286,0.130972
0.42558017,0.50362945,0.65322053,0.41540882,0.48962215,0.9585636,0.72467506,0.7693734,0.99547166,0.18303007,0.11873582
0.50182223,0.63262105,0.91780335,0.6801524,0.39408535,0.99999344,0.15607494,0.6361562,0.99703795,0.76352245,-0.0317725
0.30860123,0.3721072,0.7447134,0.84372413,0.77595437,0.5090767,0.3492645,0.68376684,0.81088376,0.4437187,0.7332649
0.068774216,0.44857648,0.5381496,-0.039139993,0.33741966,0.95944566,0.6474277,0.5341015,0.7791553,0.42079523,0.086901404
0.38720262,0.44277784,0.69351256,0.78973126,0.49621275,0.4406438,0.9868134,0.5938138,0.5492521,0.41477272,0.7410826
0.14417215,0.2583513,0.7811894,0.38236716,0.11642884,0.87136835,0.96946025,0.52667016,0.43025938,0.3991137,0.15443772
0.19578059,0.4186571,0.7726965,0.5707998,0.11600997,0.658594,0.9551024,0.4935471,0.51461697,0.5049005,0.3154224
0.41581282,0.28531188,0.8081657,0.8794997,0.6384688,0.47712353,0.93568313,0.65451473,0.3111917,0.47439802,0.91305697
0.4647653,0.42677608,0.6827897,0.7820175,0.6524094,0.39986104,0.37542,0.48988032,0.8060551,0.42520845,0.47274908
0.18146592,0.3187628,0.807048,0.38626963,0.2257095,0.8511136,0.90827554,0.5619539,0.65817046,0.36975682,0.07540301
0.22604142,0.21452104,0.7143251,0.7408209,0.46924815,0.51940995,0.378684,0.5324811,0.3457754,0.71696687,0.8166454
0.09762505,0.5389219,0.6439647,-0.020945301,0.28077388,0.97958076,0.9739341,0.5139246,0.52297115,0.7117693,0.052820258
0.1292179,0.24348548,0.75415236,0.3057755,0.2594881,0.89550436,0.95437396,0.59380555,0.64358616,0.48230502,0.03904451
0.24342856,0.39373544,0.6930133,0.45972335,0.36005098,0.4742066,0.94,0.46976984,0.6285522,0.5695312,0.37602788
0.13756499,0.31717432,0.6358104,0.1943514,0.2684855,0.8137302,0.9755994,0.48919007,0.5152066,0.5951316,0.14648348
0.103837624,0.36353862,0.68075156,0.16744675,0.195012,0.83414567,0.9833137,0.48768243,0.48838204,0.53973323,0.08240028
0.1494962,0.3157837,0.6394399,0.14792977,0.2678682,0.9103047,0.9725901,0.5189533,0.4812972,0.73000294,0.1917302
0.27773246,0.3805166,0.6841204,0.5509633,0.37436208,0.5019739,0.9733129,0.48553,0.60185444,0.54406655,0.40812644
0.12399633,0.34958473,0.58877164,0.013323442,0.31988212,0.96360576,0.9195196,0.50697404,0.5348284,0.6340054,0.1548492
0.42977953,0.45197645,0.7203797,0.45734832,0.31279534,0.6021869,0.27345172,0.7534661,0.74212015,0.12318044,-0.024457576
0.32368797,0.44394866,0.73948115,0.7756293,0.14932299,0.52499765,0.9802827,0.485111,0.314484,0.34607247,0.6957133
0.3510974,0.3884539,0.68478584,0.6836929,0.41313708,0.51575017,0.98639977,0.5639403,0.5038907,0.4538138,0.617513
0.31830302,0.37139204,0.6501654,0.6594423,0.32468012,0.47582257,0.9814688,0.4478403,0.5481559,0.5196407,0.5036082
0.5053331,0.66226363,0.81676567,0.7132569,0.8616964,0.84361875,0.7265264,0.93915653,0.99928004,0.59145474,0.9223856
0.52990955,0.5048183,0.8193617,0.9645204,0.6003446,0.53672296,0.9869366,0.6185823,0.6168126,0.38117513,0.94088936
0.2585304,0.3612184,0.76711744,0.57809746,0.18190043,0.6614323,0.9842037,0.5109583,0.4929903,0.50624734,0.31489637
0.023729444,0.6749065,0.70115834,-0.063025855,0.33044872,0.99731827,0.94430447,0.58928055,0.5944337,0.86167413,0.057385057
0.15985243,0.3763539,0.6250362,0.13250527,0.3426211,0.99619216,0.4032092,0.73135006,0.9133786,0.11292429,0.15735623
0.42506686,0.4102339,0.6891886,0.7755928,0.57161987,0.47141108,0.9822805,0.6171754,0.5774294,0.4555777,0.7489598
0.45393544,0.51537895,0.7530983,0.9225081,0.53914154,0.40831652,0.71858954,0.57619953,0.5883634,0.42080364,0.8584043
0.084332004,0.34604135,0.56547177,0.05894482,0.2629567,0.9815117,0.7300049,0.4529426,0.75498,0.7799938,-0.040699437
0.4732713,0.49417502,0.7098374,0.62305546,0.46992096,0.49607942,0.45781103,0.59952337,0.82717484,0.19402723,0.052196
0.22509517,0.33430392,0.7217382,0.48845002,0.20017658,0.69352543,0.99007165,0.5213403,0.49533165,0.5166354,0.22600086
0.18213667,0.44148645,0.68797743,0.38841876,0.39093083,0.6338851,0.95948046,0.5206275,0.67538226,0.66632855,0.33397633
0.035366755,0.4239623,0.75363344,0.33840516,0.34357256,0.52889276,0.4072099,0.68441164,0.59678936,0.3492722,0.5947808
0.27530235,0.54775554,0.7701074,0.22523524,0.22312476,0.83136296,0.36903036,0.8874065,0.72823423,0.119554736,0.014142665
0.1140273,0.2834273,0.642326,0.23115912,0.29119423,0.9048185,0.9310732,0.47946838,0.58569,0.57504493,0.14782465
0.45595694,0.27604192,0.7848851,0.57793856,0.11844266,0.98270714,0.26362854,0.4851705,0.97171456,0.65978545,0.32260406
0.6827332,0.5099203,0.804018,0.7986598,0.7488988,0.63089585,0.5779232,0.6999239,0.9885463,0.30469963,-0.0048661744
0.15188111,0.42575777,0.67655015,0.13461919,0.1783905,0.93758607,0.990355,0.467977,0.4490189,0.6766724,0.112530015
0.28835535,0.44946003,0.7801855,0.69422466,0.061887085,0.63034934,0.9775132,0.50222075,0.45348433,0.45765856,0.48824313
0.20179233,0.36848766,0.6730423,0.24158071,0.28985116,0.7233431,0.9908137,0.51560986,0.504616,0.5864742,0.16102725
0.19187896,0.39965317,0.665238,0.36424845,0.37462708,0.69076455,0.9697207,0.5013473,0.6212235,0.64313376,0.27534297
0.17475656,0.34373617,0.77291524,0.4257098,0.12665248,0.77990603,0.96150166,0.4868722,0.45059344,0.47957733,0.24976362
0.19829245,0.3735233,0.72492635,0.39681435,0.27003533,0.56473804,0.8638533,0.45678288,0.64216745,0.59115183,0.27381527
